,accuracy,dprime
airplane1-bicycle2.png,0.0,-5.0
airplane1-chair2.png,0.4,1.5999950470504742
airplane1-clock1.png,0.0,-5.0
airplane1-elephant1.png,0.0,-5.0
airplane10-airplane1.png,0.2,1.0117209166133598
airplane10-bear3.png,0.0,-5.0
airplane10-boat3.png,0.0,-5.0
airplane10-car3.png,0.0,-5.0
airplane10-cat2.png,0.0,-5.0
airplane10-dog3.png,0.0,-5.0
airplane10-elephant1.png,0.0,-5.0
airplane10-knife3.png,0.3,1.328941637478233
airplane10-oven2.png,0.0,-5.0
airplane10-truck1.png,0.0,-5.0
airplane2-bear1.png,0.0,-5.0
airplane2-bicycle1.png,0.0,-5.0
airplane2-bird3.png,0.0,-5.0
airplane2-bottle1.png,0.1,0.5717905846416735
airplane2-cat1.png,0.0,-5.0
airplane2-dog1.png,0.0,-5.0
airplane3-airplane2.png,1.0,5.0
airplane3-car1.png,0.0,-5.0
airplane3-cat1.png,1.0,5.0
airplane3-chair3.png,0.0,-5.0
airplane3-clock1.png,0.0,-5.0
airplane3-dog1.png,0.5,1.853342150186274
airplane3-elephant1.png,0.0,-5.0
airplane3-keyboard2.png,0.0,-5.0
airplane3-oven1.png,0.8,2.6949633837591884
airplane4-airplane1.png,1.0,5.0
airplane4-bear3.png,0.0,-5.0
airplane4-bicycle2.png,0.0,-5.0
airplane4-bird3.png,0.8,2.6949633837591884
airplane4-boat3.png,0.0,-5.0
airplane4-bottle1.png,0.0,-5.0
airplane4-car1.png,0.0,-5.0
airplane4-cat3.png,0.0,-5.0
airplane4-dog2.png,0.0,-5.0
airplane4-elephant1.png,0.0,-5.0
airplane4-keyboard3.png,0.0,-5.0
airplane4-knife1.png,0.9,3.1348937157308745
airplane4-truck2.png,0.0,-5.0
airplane5-bear2.png,0.0,-5.0
airplane5-bicycle1.png,0.9,3.1348937157308745
airplane5-bird2.png,1.0,5.0
airplane5-boat3.png,1.0,5.0
airplane5-bottle3.png,1.0,5.0
airplane5-chair3.png,1.0,5.0
airplane5-dog3.png,0.0,-5.0
airplane5-knife1.png,1.0,5.0
airplane5-oven3.png,0.0,-5.0
airplane6-bear3.png,0.9,3.1348937157308745
airplane6-bottle2.png,0.0,-5.0
airplane6-chair3.png,0.0,-5.0
airplane6-keyboard3.png,0.0,-5.0
airplane6-knife1.png,0.0,-5.0
airplane7-airplane3.png,1.0,5.0
airplane7-bird3.png,1.0,5.0
airplane7-boat2.png,1.0,5.0
airplane7-bottle3.png,1.0,5.0
airplane7-car1.png,0.0,-5.0
airplane7-cat3.png,1.0,5.0
airplane7-clock3.png,0.0,-5.0
airplane7-keyboard1.png,0.9,3.1348937157308745
airplane7-truck1.png,0.9,3.1348937157308745
airplane8-bicycle3.png,0.0,-5.0
airplane8-bird1.png,0.0,-5.0
airplane8-chair1.png,0.0,-5.0
airplane8-clock2.png,0.0,-5.0
airplane8-elephant3.png,0.0,-5.0
airplane8-oven2.png,0.0,-5.0
airplane8-truck3.png,0.8,2.6949633837591884
airplane9-airplane2.png,1.0,5.0
airplane9-boat1.png,0.1,0.5717905846416735
airplane9-car2.png,1.0,5.0
airplane9-clock1.png,0.0,-5.0
airplane9-keyboard2.png,0.2,1.0117209166133598
airplane9-knife3.png,0.0,-5.0
airplane9-oven2.png,0.8,2.6949633837591884
airplane9-truck1.png,1.0,5.0
bear1-airplane3.png,0.0,-5.0
bear1-bear3.png,0.9,3.1772494895364387
bear1-bicycle3.png,1.0,5.0
